,Date,Open,High,Low,Close,Volume,Year,Month,Day
3101,2020-02-10,6.0,6.0,5.78,5.8,589000,2020,2,10
3102,2020-02-11,5.9,5.9,5.61,5.64,191500,2020,2,11
3103,2020-02-12,5.65,5.88,5.6,5.64,307000,2020,2,12
3104,2020-02-13,5.77,5.77,5.68,5.68,18000,2020,2,13
3105,2020-02-14,5.61,5.87,5.51,5.87,10500,2020,2,14
3138,2020-04-06,5.2,5.2,5.0,5.0,155000,2020,4,6
3107,2020-02-18,5.61,5.78,5.55,5.65,20500,2020,2,18
3108,2020-02-19,5.65,5.86,5.65,5.86,1000,2020,2,19
3109,2020-02-20,5.87,5.88,5.65,5.65,22000,2020,2,20
3110,2020-02-21,5.61,5.65,5.57,5.57,6500,2020,2,21
3111,2020-02-24,5.61,5.61,5.36,5.49,59500,2020,2,24
3112,2020-02-25,5.5,5.5,5.5,5.5,11000,2020,2,25
3113,2020-02-26,5.74,5.75,5.32,5.35,74000,2020,2,26
3114,2020-02-27,5.3,5.5,5.11,5.49,218000,2020,2,27
3115,2020-02-28,5.25,5.64,5.23,5.5,733500,2020,2,28
3116,2020-03-02,5.5,5.5,5.45,5.5,69500,2020,3,2
3117,2020-03-03,5.5,5.72,5.5,5.58,839000,2020,3,3
3118,2020-03-04,5.51,5.6,5.41,5.53,597000,2020,3,4
3119,2020-03-05,5.59,5.9,5.45,5.46,408500,2020,3,5
3120,2020-03-06,5.41,5.59,5.33,5.35,88000,2020,3,6
3121,2020-03-10,5.35,5.35,5.25,5.25,73500,2020,3,10
3154,2020-04-29,4.47,4.5,4.45,4.5,137000,2020,4,29
3123,2020-03-12,5.1,5.25,5.1,5.2,9000,2020,3,12
3124,2020-03-13,4.72,5.25,4.72,5.18,660000,2020,3,13
3125,2020-03-16,5.01,5.01,4.49,4.5,207000,2020,3,16
3126,2020-03-17,4.7,4.8,4.5,4.5,145500,2020,3,17
3127,2020-03-18,4.4,4.4,4.1,4.15,16500,2020,3,18
3128,2020-03-19,4.15,4.2,4.0,4.2,158500,2020,3,19
3129,2020-03-20,4.04,4.3,4.01,4.29,14000,2020,3,20
3130,2020-03-25,4.0,4.49,4.0,4.05,4000,2020,3,25
3131,2020-03-26,4.0,4.25,4.0,4.25,202500,2020,3,26
3132,2020-03-27,4.01,4.2,3.91,4.0,618000,2020,3,27
3133,2020-03-30,4.0,4.0,3.81,3.95,36000,2020,3,30
3134,2020-03-31,3.93,4.06,3.93,4.02,575500,2020,3,31
3135,2020-04-01,3.93,3.99,3.91,3.96,140000,2020,4,1
3136,2020-04-02,3.86,4.96,3.86,4.69,3293500,2020,4,2
3137,2020-04-03,5.0,5.68,4.56,5.39,1050000,2020,4,3
3170,2020-05-29,4.99,5.54,4.71,5.25,510500,2020,5,29
3139,2020-04-07,4.81,5.01,4.81,5.0,99000,2020,4,7
3140,2020-04-08,4.85,4.85,4.8,4.82,15500,2020,4,8
3141,2020-04-09,5.1,5.1,4.86,4.9,39500,2020,4,9
3142,2020-04-10,5.0,5.0,4.99,4.99,101000,2020,4,10
3143,2020-04-13,4.61,4.67,4.61,4.65,141000,2020,4,13
3144,2020-04-14,4.6,4.6,4.6,4.6,5000,2020,4,14
3145,2020-04-15,4.61,4.62,4.61,4.61,11000,2020,4,15
3146,2020-04-16,4.75,4.75,4.75,4.75,500,2020,4,16
3147,2020-04-17,4.89,5.0,4.89,4.96,19500,2020,4,17
3148,2020-04-20,4.9,4.9,4.62,4.65,170500,2020,4,20
3149,2020-04-22,4.85,4.85,4.85,4.85,500,2020,4,22
3150,2020-04-23,4.61,4.85,4.55,4.85,90500,2020,4,23
3151,2020-04-24,4.51,4.53,4.51,4.53,50500,2020,4,24
3152,2020-04-27,4.55,4.56,4.55,4.55,35000,2020,4,27
3153,2020-04-28,4.52,4.52,4.5,4.5,75000,2020,4,28
3186,2020-06-22,5.17,5.45,4.95,5.3,784500,2020,6,22
3155,2020-04-30,4.65,4.75,4.65,4.72,47000,2020,4,30
3156,2020-05-04,4.75,4.97,4.75,4.87,51500,2020,5,4
3157,2020-05-05,4.75,5.18,4.71,5.0,382000,2020,5,5
3158,2020-05-06,4.82,5.19,4.8,5.06,82000,2020,5,6
3159,2020-05-07,5.0,5.05,5.0,5.0,15000,2020,5,7
3160,2020-05-08,5.04,5.05,4.91,4.91,12500,2020,5,8
3161,2020-05-12,4.82,4.82,4.75,4.76,14000,2020,5,12
3162,2020-05-13,4.72,4.72,4.7,4.7,25500,2020,5,13
3163,2020-05-14,4.62,5.0,4.62,4.97,35500,2020,5,14
3164,2020-05-15,4.71,4.71,4.71,4.71,1000,2020,5,15
3165,2020-05-18,4.71,5.0,4.61,5.0,135000,2020,5,18
3166,2020-05-19,4.8,4.8,4.8,4.8,2500,2020,5,19
3167,2020-05-20,4.76,4.8,4.71,4.75,47500,2020,5,20
3168,2020-05-21,4.95,4.95,4.94,4.94,20500,2020,5,21
3169,2020-05-28,4.9,4.9,4.7,4.75,71000,2020,5,28
3202,2020-07-14,5.75,6.22,5.66,5.71,2876500,2020,7,14
3171,2020-06-01,5.25,5.39,4.8,4.87,236500,2020,6,1
3172,2020-06-02,4.72,5.15,4.72,5.0,71000,2020,6,2
3173,2020-06-03,5.0,5.1,4.75,4.87,181500,2020,6,3
3174,2020-06-04,4.85,4.85,4.74,4.76,11000,2020,6,4
3175,2020-06-05,4.85,4.98,4.85,4.86,12000,2020,6,5
3176,2020-06-08,4.76,4.86,4.7,4.76,541500,2020,6,8
3177,2020-06-09,4.71,4.9,4.71,4.78,61500,2020,6,9
3178,2020-06-10,4.85,4.99,4.8,4.99,67000,2020,6,10
3179,2020-06-11,4.99,5.0,4.85,4.93,160500,2020,6,11
3180,2020-06-12,4.8,4.85,4.8,4.85,1500,2020,6,12
3181,2020-06-15,4.99,4.99,4.8,4.92,626000,2020,6,15
3182,2020-06-16,4.92,5.39,4.86,5.14,346000,2020,6,16
3183,2020-06-17,5.39,5.6,5.01,5.36,1165000,2020,6,17
3184,2020-06-18,5.45,5.79,5.0,5.0,882000,2020,6,18
3185,2020-06-19,5.23,5.3,4.9,5.0,503000,2020,6,19
3218,2020-08-06,5.9,5.92,5.6,5.9,1284500,2020,8,6
3187,2020-06-23,5.39,5.39,5.18,5.24,128500,2020,6,23
3188,2020-06-24,5.25,5.25,5.1,5.24,18500,2020,6,24
3189,2020-06-25,5.01,5.25,5.0,5.22,41000,2020,6,25
3190,2020-06-26,5.1,5.21,5.1,5.21,31000,2020,6,26
3191,2020-06-29,5.0,5.44,5.0,5.34,155000,2020,6,29
3192,2020-06-30,5.06,5.5,4.9,5.35,2137000,2020,6,30
3193,2020-07-01,5.35,5.35,5.0,5.23,8784000,2020,7,1
3194,2020-07-02,5.15,6.23,5.15,6.13,3613000,2020,7,2
3195,2020-07-03,6.1,6.1,5.36,5.4,2646000,2020,7,3
3196,2020-07-06,5.25,5.89,5.16,5.7,1177500,2020,7,6
3197,2020-07-07,5.52,6.25,5.46,6.02,1420500,2020,7,7
3198,2020-07-08,6.1,6.39,5.85,6.28,635000,2020,7,8
3199,2020-07-09,6.2,6.0,5.73,5.78,2508000,2020,7,9
3200,2020-07-10,5.79,5.8,5.6,5.61,251000,2020,7,10
3201,2020-07-13,5.78,5.78,5.64,5.7,36000,2020,7,13
3234,2020-08-31,6.1,6.1,5.9,5.9,2507000,2020,8,31
3203,2020-07-15,5.94,6.68,5.4,5.48,12675000,2020,7,15
3204,2020-07-16,5.53,6.46,5.5,6.18,31676000,2020,7,16
3205,2020-07-17,6.2,6.49,5.9,5.98,4026000,2020,7,17
3206,2020-07-20,6.05,6.35,5.9,5.93,2128000,2020,7,20
3207,2020-07-21,5.86,6.0,5.72,5.75,908000,2020,7,21
3208,2020-07-22,5.77,5.83,5.7,5.75,2906000,2020,7,22
3209,2020-07-23,5.7,5.85,5.61,5.64,362000,2020,7,23
3210,2020-07-24,5.61,5.89,5.6,5.74,128500,2020,7,24
